Kat_obrotu_pompy_deg,Skok_tloczka_mm
0.0,0.0
0.1000277854959711,0.00798709083789927
0.2000555709919422,0.015974126902747018
0.3000833564879133,0.023961053421867336
0.4001111419838844,0.031947815623335554
0.5001389274798556,0.03993435873635384
0.6001667129758266,0.047920627991626795
0.7001944984717977,0.05590656862173709
0.8002222839677688,0.06389212586152093
0.90025006946374,0.0718772449484438
1.000277854959711,0.0798618711229758
1.1003056404556821,0.08784594962896736
1.2003334259516532,0.09582942571402457
1.3003612114476244,0.10381224462988486
1.4003889969435954,0.1117943516327922
1.5004167824395667,0.11977569198387274
1.6004445679355377,0.12775621094951
1.7004723534315087,0.1357358538017204
1.80050013892748,0.14371456581852848
1.900527924423451,0.1516922922843421
2.000555709919422,0.15966897849032777
2.100583495415393,0.1676445697347858
2.2006112809113643,0.17561901132352542
2.3006390664073355,0.18359224857023973
2.4006668519033063,0.19156422679688107
2.5006946373992776,0.19953489133403557
2.600722422895249,0.2075041875212983
2.70075020839122,0.21547206070764804
2.800777993887191,0.22343845625182218
2.900805779383162,0.23140331952269122
3.0008335648791333,0.23936659589963355
3.100861350375104,0.24732823077291002
3.2008891358710754,0.25528816954403843
3.3009169213670466,0.26324635762616794
3.4009447068630174,0.2712027404444533
3.5009724923589887,0.2791572634364294
3.60100027785496,0.287109872052385
3.7010280633509307,0.2950605117557373
3.801055848846902,0.3030091280234057
3.901083634342873,0.31095566634618543
4.001111419838844,0.3189000722291221
4.101139205334816,0.3268422911918845
4.201166990830786,0.3347822687691389
4.301194776326757,0.3427199505109223
4.4012225618227285,0.3506552819830158
4.5012503473187,0.3585882087673179
4.601278132814671,0.3665186764622177
4.701305918310642,0.37444663068296824
4.801333703806613,0.38237201706205876
4.901361489302584,0.39029478124958855
5.001389274798555,0.3982148689136386
5.101417060294526,0.4061322257406449
5.201444845790498,0.41404679743577066
5.301472631286469,0.4219585297232787
5.40150041678244,0.4298673683469037
5.50152820227841,0.4377732590702239
5.601555987774382,0.44567614767703395
5.701583773270353,0.4535759799717154
5.801611558766324,0.46147270177960964
5.901639344262295,0.4693662589473885
6.001667129758267,0.47725659734342607
6.101694915254237,0.48514366285816973
6.201722700750208,0.49302740140451157
6.3017504862461795,0.5009077589181585
6.401778271742151,0.508784681358004
6.501806057238122,0.5166581147064981
6.601833842734093,0.524528004970018
6.7018616282300645,0.532394298179238
6.801889413726035,0.5402569403895003
6.901917199222006,0.5481158776811844
7.001944984717977,0.5559710561600771
7.101972770213949,0.5638224219577417
7.20200055570992,0.5716699212318881
7.302028341205891,0.5795135001667414
7.402056126701861,0.5873531049734111
7.502083912197833,0.5951886818902608
7.602111697693804,0.6030201771832748
7.702139483189775,0.6108475371464294
7.802167268685746,0.6186707081020587
7.902195054181718,0.6264896364012243
8.002222839677689,0.6343042684240825
8.10225062517366,0.6421145505802519
8.202278410669631,0.6499204293091816
8.302306196165603,0.6577218510805177
8.402333981661572,0.6655187623944712
8.502361767157543,0.6733111097821839
8.602389552653515,0.6810988398060961
8.702417338149486,0.6888818990603124
8.802445123645457,0.6966602341709681
8.902472909141428,0.7044337917965954
9.0025006946374,0.7122025186284885
9.10252848013337,0.7199663613910705
9.202556265629342,0.7277252668422575
9.302584051125313,0.7354791817738243
9.402611836621285,0.7432280530117693
9.502639622117256,0.7509718274166787
9.602667407613225,0.7587104518840915
9.702695193109196,0.7664438733448634
9.802722978605168,0.7741720387655305
9.902750764101139,0.7818948951486738
10.00277854959711,0.7896123895332813
10.102806335093081,0.7973244689951124
10.202834120589053,0.8050310806470607
10.302861906085024,0.8127321716395157
10.402889691580995,0.8204276891607264
10.502917477076966,0.8281175804371627
10.602945262572938,0.8358017927338779
10.702973048068909,0.8434802733548697
10.80300083356488,0.8511529696434422
10.90302861906085,0.8588198289825663
11.00305640455682,0.8664807987952415
11.103084190052792,0.8741358265448552
11.203111975548763,0.8817848597355443
11.303139761044735,0.8894278459125542
11.403167546540706,0.8970647326625988
11.503195332036677,0.9046954676142207
11.603223117532648,0.9123199984381488
11.70325090302862,0.9199382728476585
11.80327868852459,0.9275502385989297
11.903306474020562,0.9351558434914051
12.003334259516533,0.9427550353681486
12.103362045012505,0.9503477621162023
12.203389830508474,0.9579339716669438
12.303417616004445,0.9655136119964447
12.403445401500417,0.9730866311258256
12.503473186996388,0.9806529771216131
12.603500972492359,0.9882125980960969
12.70352875798833,0.9957654422076838
12.803556543484301,1.0033114576612556
12.903584328980273,1.0108505927085218
13.003612114476244,1.0183827956483764
13.103639899972215,1.0259080148272515
13.203667685468186,1.0334261986394708
13.303695470964158,1.0409372955276062
13.403723256460129,1.0484412539828283
13.503751041956098,1.0559380225452608
13.60377882745207,1.0634275498043346
13.703806612948041,1.0709097843991382
13.803834398444012,1.0783846750187716
13.903862183939983,1.085852170402697
14.003889969435955,1.093312219341092
14.103917754931926,1.1007647706751977
14.203945540427897,1.108209773297674
14.303973325923868,1.1156471761529454
14.40400111141984,1.1230769282375546
14.50402889691581,1.1304989786005102
14.604056682411782,1.1379132763436377
14.704084467907753,1.1453197706219267
14.804112253403723,1.1527184106438815
14.904140038899694,1.1601091456718684
15.004167824395665,1.1674919250224634
15.104195609891637,1.1748666980667997
15.204223395387608,1.1822334142309165
15.304251180883579,1.189592022996104
15.40427896637955,1.1969424738992498
15.504306751875522,1.2042847165331874
15.604334537371493,1.2116187005470382
15.704362322867464,1.2189443756465603
15.804390108363435,1.2262616915944904
15.904417893859407,1.2335705982108915
16.004445679355378,1.2408710453734928
16.10447346485135,1.2481629830180385
16.20450125034732,1.2554463611386266
16.30452903584329,1.262721129788055
16.404556821339263,1.2699872390781612
16.504584606835234,1.2772446391801677
