RPM,0.0,10.0,15.0,2000.0,2500.0,3000.0,3500.0,4000.0,8500.0
4746,1198.0,1256.0,1316.0,1404.0,1492.0,1590.0,1669.0,1500.0,1500.0
4994,1149.0,1219.0,1278.0,1384.0,1482.0,1600.0,1708.0,1718.0,1806.0
4242,1100.0,1190.0,1259.0,1355.0,1473.0,1589.0,1708.0,1835.0,1914.0
3990,1090.0,1160.0,1240.0,1335.0,1454.0,1580.0,1698.0,1950.0,1950.0
3507,1070.0,1130.0,1200.0,1296.0,1416.0,1552.0,1698.0,1950.0,1950.0
3003,1050.0,1091.0,1160.0,1247.0,1376.0,1532.0,1689.0,1950.0,1950.0
2499,1021.0,1061.0,1120.0,1218.0,1328.0,1502.0,1680.0,1950.0,1950.0
2247,1012.0,1051.0,1110.0,1198.0,1308.0,1494.0,1670.0,1950.0,1950.0
2058,1002.0,1041.0,1100.0,1189.0,1298.0,1476.0,1659.0,1950.0,1950.0
1911,1002.0,1032.0,1091.0,1170.0,1278.0,1467.0,1648.0,1950.0,1950.0
1743,1002.0,1012.0,1081.0,1150.0,1248.0,1447.0,1599.0,1850.0,1850.0
1491,1002.0,1002.0,1060.0,1120.0,1207.0,1414.0,1551.0,1718.0,1750.0
1260,1002.0,1002.0,1041.0,1091.0,1149.0,1377.0,1473.0,1600.0,1600.0
1008,1002.0,1002.0,1012.0,1061.0,1120.0,1348.0,1415.0,1519.0,1519.0
21,1002.0,1002.0,1002.0,1041.0,1100.0,1324.0,1400.0,1470.0,1470.0
