RPM,0.0,3.0,7.4,10.0,12.4,15.0,17.4,20.0,22.4,25.0,29.0,33.0,51.0
5355,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0
3612,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0
3423,330.0,364.8,404.8,445.5,474.8,520.0,50.0,600.0,650.0,704.8,765.6,802.0,850.0
2499,276.7,309.8,344.8,384.8,424.8,454.8,494.8,534.8,594.8,644.8,700.0,748.0,850.0
2247,266.7,294.8,324.8,359.8,394.8,424.8,464.8,509.8,569.8,614.8,670.0,747.0,850.0
1995,256.7,289.8,314.8,349.8,384.8,414.8,449.8,94.8,544.8,578.8,639.6,718.0,850.0
1743,256.7,284.8,304.8,349.8,384.8,414.8,454.8,99.8,544.8,584.8,650.0,719.0,880.0
1596,250.0,274.8,299.8,349.8,384.8,414.8,454.8,499.8,544.8,539.8,645.6,715.0,850.0
1491,246.7,274.8,299.8,354.8,384.8,429.8,474.8,504.8,544.8,594.8,668.6,736.0,850.0
1386,243.3,269.8,299.8,359.8,394.8,444.8,484.8,524.8,574.8,614.8,720.4,850.0,850.0
1239,243.3,259.8,304.8,364.8,404.8,464.8,514.8,574.8,614.8,674.8,835.6,850.0,850.0
924,240.0,260.0,300.0,370.0,450.0,504.8,574.8,624.8,644.8,704.8,835.6,850.0,850.0
903,240.0,260.0,300.0,370.0,450.0,530.8,607.6,835.6,835.6,835.6,835.6,850.0,850.0
750,240.0,260.0,300.0,370.0,450.0,574.0,622.0,850.0,850.0,850.0,850.0,850.0,850.0
700,850.0,850.0,880.0,850.0,850.0,850.0,850.0,880.0,850.0,850.0,850.0,850.0,880.0
850,850.0,850.0,850.0,0.0,,,,,,,,,
