theta_deg,volume_m3,pressure_pa,temperature_k,mass_kg,mdot_intake_kg_s,mdot_exhaust_kg_s,intake_lift_frac,exhaust_lift_frac,dm_fuel_main_mg_per_deg,dq_comb_j_per_deg,dq_wall_j_per_deg,torque_indicated_nm_per_cyl
-360.0,2.5624522534125138e-05,236003.3482142857,300.0,7.02762796440025e-05,-0.0,-0.01280720562280785,0.10934640522875824,0.04427083333333327,0.0,0.0,-0.0011310051976478924,-0.19423424833983624
-359.0,2.5658229215438538e-05,232964.55293256964,298.910025559215,6.971687310819864e-05,0.009623296998785426,-0.011141548687956316,0.11813071895424843,0.03894444444444441,0.0,0.0,-0.001129925843640406,1.0915114186261603
-358.0,2.5788055472503243e-05,231716.9219794984,298.4939601568736,6.979185081281522e-05,0.012263563568961492,-0.009646061610009695,0.12711764705882353,0.033875,0.0,0.0,-0.001129787812664653,2.361429881404045
-357.0,2.601393111990201e-05,231138.520185248,298.33818110736223,7.026418430718834e-05,0.01396976207460009,-0.008184173325421705,0.13610457516339863,0.028805555555555588,0.0,0.0,-0.0011303059458233815,3.6268628246225267
-356.0,2.63357372778669e-05,230883.8095921823,298.31105024581586,7.106144737570711e-05,0.015288689557655725,-0.006815561703289709,0.14528758169934627,0.024013888888888925,0.0,0.0,-0.0011314065036826131,4.890898142020351
-355.0,2.675330644662554e-05,230719.46711053778,298.3235906807287,7.213369838284646e-05,0.01659138883005174,-0.005766721569915333,0.1552549019607843,0.020333333333333335,0.0,0.0,-0.0011330266982351445,6.152011129664792
-354.0,2.726642260958275e-05,230581.2769783274,298.35095938749276,7.346634308113981e-05,0.017880215474811754,-0.004719831979297318,0.1652222222222223,0.016652777777777742,0.0,0.0,-0.001135149866203358,7.4089894433392
-353.0,2.787482136536183e-05,230465.06926257783,298.3906610581924,7.505767761641733e-05,0.01915579260527706,-0.0036745650581009744,0.1751895424836603,0.012972222222222152,0.0,0.0,-0.0011377807448474107,8.661473104821633
-352.0,2.8578190088749296e-05,230345.99232000698,298.4326108793063,7.690095120921231e-05,0.020512808350212894,-0.0028663626160095905,0.18566666666666684,0.010124999999999957,0.0,0.0,-0.0011409148541053108,9.90812304144052
-351.0,2.937616812059284e-05,230170.35457986442,298.45688822796893,7.898144568976763e-05,0.022033289983521394,-0.002215813928700322,0.19648366013071908,0.007833333333333303,0.0,0.0,-0.001144527509660646,11.14566722542892
-350.0,3.0268346986707978e-05,229980.41790219984,298.4791571069309,8.130687147615406e-05,0.023611299074206994,-0.001566216719092261,0.20730065359477132,0.005541666666666651,0.0,0.0,-0.001148631084403414,12.3748450446834
-349.0,3.125427064586234e-05,229798.35516842254,298.50708901709527,8.388085273232155e-05,0.025205346513924583,-0.0009177619311280614,0.21811764705882353,0.00325,0.0,0.0,-0.0011532354109267523,13.596127025581596
-348.0,3.233343576690752e-05,229584.2556560187,298.525356022925,8.669089398290417e-05,0.026982762925942604,-0.0006621894697760638,0.22968627450980383,0.002347222222222228,0.0,0.0,-0.0011583248708696599,14.80646056787801
-347.0,3.350529203513877e-05,229337.5267013262,298.5339683719477,8.973360526204562e-05,0.028864735966360147,-0.00040705692602354277,0.24125490196078417,0.0014444444444444559,0.0,0.0,-0.0011638916120904957,16.004696491251277
-346.0,3.476924248796839e-05,229093.89362267917,298.54594819758086,9.301595806363666e-05,0.030779168050572688,-0.00015248094041860955,0.25282352941176445,0.0005416666666666838,0.0,0.0,-0.0011699471341220815,17.192412027402398
-345.0,3.6124643879996834e-05,228861.82688589365,298.5638188383709,9.65381980377103e-05,0.03273983527076276,-0.0,0.26466666666666644,0.0,0.0,0.0,-0.0011764957826118836,18.369757522148152
-344.0,3.757080707757773e-05,228617.88184002717,298.57846613272034,0.00010029082623547361,0.03481606240515627,-0.0,0.2769215686274508,0.0,0.0,0.0,-0.001183526132361856,19.53433902873057
-343.0,3.91069974829643e-05,228378.65523295538,298.59582545880676,0.00010427609206757751,0.03692024664574624,-0.0,0.2891764705882353,0.0,0.0,0.0,-0.0011910416105652157,20.686913227075173
-342.0,4.073243548813441e-05,228155.3959592521,298.61955311130083,0.00010849528478745766,0.03902380778365922,-0.0,0.30143137254901975,0.0,0.0,0.0,-0.001199046487419073,21.828074896944038
-341.0,4.244629695838192e-05,227957.62442188262,298.6525956699064,0.00011294969454835022,0.041158004180177954,-0.0,0.31413071895424843,0.0,0.0,0.0,-0.0012075451462245613,22.95847923506089
-340.0,4.424771374576418e-05,227791.3439447282,298.6964639947648,0.00011763993725761958,0.043259932120475436,-0.0,0.3269411764705882,0.0,0.0,0.0,-0.0012165418770586397,24.078604160749485
-339.0,4.613577423248889e-05,227648.82786297615,298.7475552036932,0.00012256177521798527,0.04532819058698673,-0.0,0.33975163398692804,0.0,0.0,0.0,-0.0012260349388645401,25.18752838218685
-338.0,4.810952390431432e-05,227526.1125896167,298.8038524936313,0.00012771197589972716,0.04737923525817554,-0.0,0.3526470588235293,0.0,0.0,0.0,-0.0012360222437398786,26.284613521054997
-337.0,5.0167965954033614e-05,227428.0283765916,298.8667484596537,0.00013309069945728448,0.04942958744418827,-0.0,0.36588235294117644,0.0,0.0,0.0,-0.001246504258440391,27.37020440424358
